exp_type_id,experimentor_id,is_id,extraction_method_id,acquisition_method_id,quantitation_method_id,experiment_id,sample_name,sample_type,calibrator_id,calibrator_level,sample_id,sample_dilution
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_Blank-01,Blank,,,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level13,Standard,1,13,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level13,Standard,2,13,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level13,Standard,3,13,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level11,Standard,1,11,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level11,Standard,2,11,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level11,Standard,3,11,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level9,Standard,1,9,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level9,Standard,2,9,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level9,Standard,3,9,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level7,Standard,1,7,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level7,Standard,2,7,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level7,Standard,3,7,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level5,Standard,1,5,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level5,Standard,2,5,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level5,Standard,3,5,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level3,Standard,1,3,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level3,Standard,2,3,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level3,Standard,3,3,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level1,Standard,1,1,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level1,Standard,2,1,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level1,Standard,3,1,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_Blank-02,Blank,,,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level14,Standard,1,14,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level14,Standard,2,14,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level14,Standard,3,14,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level12,Standard,1,12,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level12,Standard,2,12,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level12,Standard,3,12,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level10,Standard,1,10,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level10,Standard,2,10,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level10,Standard,3,10,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level8,Standard,1,8,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level8,Standard,2,8,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level8,Standard,3,8,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level6,Standard,1,6,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level6,Standard,2,6,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level6,Standard,3,6,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level4,Standard,1,4,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level4,Standard,2,4,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level4,Standard,3,4,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM1_Level2,Standard,1,2,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM2_Level2,Standard,2,2,,1
4,3,3,,140718_McCloskey2013,140521-v02,chemoCLim01,140521-v02_CM3_Level2,Standard,3,2,,1
